#English_unigrams	German_translation	#label
bellicose_adj	kriegerisch_adj	OTHER
belligerence_noun	Kriegslust_noun	OTHER
bemoan_verb	beklagen_verb	OTHER
berate_verb	schelten_verb	OTHER
besiege_verb	bedrängen_verb	OTHER
bestial_adj	bestialisch_adj	DEROGATORY
betray_verb	verraten_verb	OTHER
betrayer_noun	Verräter_noun	DEROGATORY
bewail_verb	klagen_verb	OTHER
bewilder_verb	verwirren_verb	OTHER
bewildering_adj	verwirrend_adj	OTHER
bewilderment_noun	Verwirrung_noun	OTHER
bicker_verb	zanken_verb	OTHER
bickering_noun	Gezänk_noun	OTHER
bint_noun	Tuse_noun	DEROGATORY
bitch_noun	Zicke_noun	DEROGATORY
biting_adj	bissig_adj	OTHER
bitter_adj	hämisch_adj	DEROGATORY
blab_verb	plappern_verb	DEROGATORY
blabber_verb	labern_verb	DEROGATORY
blame_noun	Tadel_noun	OTHER
blame_verb	beschuldigen_verb	OTHER
blaspheme_verb	lästern_verb	DEROGATORY
blasphemy_noun	Blasphemie_noun	DEROGATORY
blast_verb	absprengen_verb	OTHER
blasted_adj	öde_adj	OTHER
blather_verb	schwafeln_verb	DEROGATORY
blemish_noun	Makel_noun	OTHER
blemish_verb	verunstalten_verb	OTHER
blind_adj	blind_adj	DEROGATORY
blind_verb	blenden_verb	OTHER
blinding_adj	blendend_adj	OTHER
blindside_verb	überrumpeln_verb	OTHER
bloodthirsty_adj	blutrünstig_adj	DEROGATORY
blunt_adj	unverblümt_adj	OTHER
blur_verb	trüben_verb	OTHER
bogan_noun	Prolet_noun	DEROGATORY
boggle_verb	stutzen_verb	OTHER
bogus_adj	betrügerisch_adj	DEROGATORY
bollocks_noun	Schwachsinn_noun	DEROGATORY
bombard_verb	bombardieren_verb	OTHER
bombardment_noun	Beschuss_noun	DEROGATORY
bondage_noun	Gefangenschaft_noun	OTHER
boner_noun	Latte_noun	DEROGATORY
bore_verb	langeweilen_verb	OTHER
boredom_noun	Langeweile_noun	OTHER
botch_verb	pfuschen_verb	DEROGATORY
bother_verb	nerven_verb	OTHER
boycott_noun	Boykott_noun	OTHER
braggart_noun	Angeber_noun	DEROGATORY
brainwash_verb	?	OTHER
bravado_noun	Angeberei_noun	DEROGATORY
brazenness_noun	?	OTHER
breach_noun	Bruch_noun	OTHER
break_verb	brechen_verb	OTHER
bristle_verb	sträuben_verb	OTHER
broke_adj	pleite_adj	OTHER
brood_verb	grübeln_verb	OTHER
brutality_noun	Brutalität_noun	DEROGATORY
brutalize_verb	brutalisieren_verb	OTHER
brute_noun	Wüstling_noun	DEROGATORY
buckra_noun	Weißer_noun	DEROGATORY
bug_verb	stören_verb	OTHER
bugger_noun	Flegel_noun	DEROGATORY
bullshit_noun	Scheiße_noun	DEROGATORY
bully_noun	Rüpel_noun	DEROGATORY
bungle_verb	verbocken_verb	OTHER
bungler_noun	Stümper_noun	DEROGATORY
burdensome_adj	lästig_adj	DEROGATORY
burrhead_noun	?	DEROGATORY
busy_adj	ausgelastet_adj	OTHER
butchery_noun	Gemetzel_noun	DEROGATORY
cackle_verb	gackern_verb	OTHER
cajole_verb	beschwatzen_verb	OTHER
cancer_noun	Geschwür_noun	DEROGATORY
cancerous_adj	krebsartig_adj	DEROGATORY
cannibalize_verb	filletieren_verb	DEROGATORY
capricious_adj	launisch_adj	DEROGATORY
capriciousness_noun	Launenhaftigkeit_noun	DEROGATORY
careless_adj	leichtsinnig_adj	DEROGATORY
carelessness_noun	Leichtsinn_noun	DEROGATORY
caricature_verb	karikieren_verb	OTHER
carnage_noun	Blutbad_noun	DEROGATORY
carp_verb	nörgeln_verb	OTHER
cartoon_noun	Karikatur_noun	OTHER
cash-strapped_adj	klamm_adj	OTHER
castigate_verb	geißeln_verb	OTHER
catastrophe_noun	Katastrophe_noun	OTHER
cautious_adj	zurückhaltend_adj	OTHER
celesbian_noun	?	DEROGATORY
censure_verb	zensieren_verb	OTHER
chafe_verb	scheuern_verb	OTHER
challenge_verb	herausfordern_verb	OTHER
chaos_noun	Chaos_noun	OTHER
charva_noun	?	DEROGATORY
charver_noun	?	DEROGATORY
chasten_verb	demütigen_verb	OTHER
chatter_verb	schnattern_verb	OTHER
chatterbox_noun	Quasselstrippe_noun	OTHER
chav_noun	Proll_noun	DEROGATORY
cheapen_verb	verbilligen_verb	OTHER
cheat_noun	Betrüger_noun	DEROGATORY
cheat_verb	betrügen_verb	DEROGATORY
cheerless_adj	trübselig_adj	OTHER
chide_verb	tadeln_verb	OTHER
chill_verb	abkühlen_verb	OTHER
choke_verb	ersticken_verb	OTHER
chonky_noun	?	DEROGATORY
chug_noun	?	DEROGATORY
clamor_noun	Gezeter_noun	OTHER
cliche_noun	Klischee_noun	DEROGATORY
clog_verb	verstopfen_verb	OTHER
close_adj	gedrängt_adj	OTHER
clumsy_adj	tollpatschig_adj	DEROGATORY
cock_noun	Nille_noun	DEROGATORY
cocky_adj	rotzfrech_adj	DEROGATORY
coerce_verb	nötigen_verb	OTHER
coercion_noun	Nötigung_noun	OTHER
cold_adj	gefühlskalt_adj	DEROGATORY
collapse_verb	zusammenbrechen_verb	OTHER
collide_verb	aufeinanderprallen_verb	OTHER
collusion_noun	Kollusion_noun	OTHER
combative_adj	streitlustig_adj	OTHER
comical_adj	komisch_adj	OTHER
commiserate_verb	bemitleiden_verb	OTHER
compel_verb	zwingen_verb	OTHER
complacent_adj	selbstgefällig_adj	DEROGATORY
compulsion_noun	Zwang_noun	OTHER
compulsive_adj	zwanghaft_adj	OTHER
conceit_noun	Einbildung_noun	OTHER
conceited_adj	eingebildet_adj	DEROGATORY
concern_noun	Bedenken_noun	OTHER
concern_verb	beunruhigen_verb	OTHER
concession_noun	Zugeständnis_noun	OTHER
condemn_verb	verurteilen_verb	OTHER
condescend_verb	herablassen_verb	OTHER
condescension_noun	Herablassung_noun	OTHER
condolence_noun	Anteilnahme_noun	OTHER
confound_verb	vereiteln_verb	OTHER
confront_verb	konfrontieren_verb	OTHER
confrontation_noun	Konfrontation_noun	OTHER
confrontational_adj	streitlustig_adj	OTHER
confuse_verb	irritieren_verb	OTHER
confused_adj	irritiert_adj	OTHER
congested_adj	verstopft_adj	OTHER
conspicuous_adj	auffallend_adj	OTHER
conspire_verb	verschwören_verb	OTHER
consternation_noun	Fassungslosigkeit_noun	OTHER
constraint_noun	Einschränkung_noun	OTHER
contempt_noun	Verachtung_noun	DEROGATORY
contend_verb	streiten_verb	OTHER
contention_noun	Auseinandersetzung_noun	OTHER
contort_verb	verzerren_verb	OTHER
contradict_verb	widersprechen_verb	OTHER
contrariness_noun	Widersprüchlichkeit_noun	OTHER
contravene_verb	zuwiderhandeln_verb	OTHER
contrive_verb	aushecken_verb	OTHER
coolie_noun	Kuli_noun	DEROGATORY
coon_noun	Neger_noun	DEROGATORY
cooter_noun	Pflaume?_noun	DEROGATORY
corrode_verb	verrosten_verb	OTHER
corrosive_adj	ätzend_adj	DEROGATORY
corrupt_verb	korrumpieren_verb	OTHER
counterproductive_adj	kontraproduktiv_adj	OTHER
cow_verb	entmutigen_verb	OTHER
cracker_noun	?	DEROGATORY
cramped_adj	eingeengt_adj	OTHER
crap_noun	Schrott_noun	DEROGATORY
crass_adj	strohdumm_adj	DEROGATORY
craze_noun	Fimmel_noun	OTHER
craziness_noun	Verrücktheit_noun	DEROGATORY
crime_noun	Verbrechen_noun	OTHER
cringe_verb	kriechen_verb	DEROGATORY
cripple_noun	Krüppel_noun	DEROGATORY
cripple_verb	verkrüppeln_verb	DEROGATORY
critical_adj	kritisch_adj	OTHER
criticize_verb	kritisieren_verb	OTHER
cross_adj	ärgerlich_adj	OTHER
crude_adj	unbeholfen_adj	DEROGATORY
cruel_adj	grausam_adj	DEROGATORY
crumble_verb	bröckeln_verb	OTHER
crumple_verb	zerknittern_verb	OTHER
crush_verb	zerdrücken_verb	OTHER
crushing_adj	erdrückend_adj	OTHER
cuck_noun	Cuck_noun	DEROGATORY
cunt_noun	Fotze_noun	DEROGATORY
curse_verb	verfluchen_verb	DEROGATORY
cursed_adj	verflucht_adj	DEROGATORY
cuss_verb	verwünschen_verb	OTHER
cutthroat_adj	halsabschneiderisch_adj	OTHER
cynicism_noun	Zynismus_noun	OTHER
dago_noun	Kanake_noun	DEROGATORY
damage_noun	Schaden_noun	OTHER
damage_verb	schaden_verb	OTHER
damn_verb	verdammen_verb	DEROGATORY
damnable_adj	verdammenswert_adj	OTHER
danger_noun	Gefahr_noun	OTHER
dangle_verb	wackeln_verb	OTHER
darken_verb	verdunkeln_verb	OTHER
darkey_noun	Bimbo_noun	DEROGATORY
darkie_noun	Bimbo_noun	DEROGATORY
dawdle_verb	vertrödeln_verb	DEROGATORY
dazed_adj	benommen_adj	OTHER
deadlock_noun	Stillstand_noun	OTHER
deadly_adj	tödlich_adj	OTHER
dearth_noun	Mangel_noun	OTHER
death_noun	Tod_noun	OTHER
debacle_noun	Debakel_noun	OTHER
debate_verb	debattieren_verb	OTHER
debaucher_noun	Verführer_noun	OTHER
debauchery_noun	Prasserei_noun	DEROGATORY
debilitate_verb	entkräften_verb	OTHER
debility_noun	Kraftlosigkeit_noun	OTHER
decadent_adj	dekadent_adj	OTHER
deceitful_adj	hinterlistig_adj	DEROGATORY
deceive_verb	täuschen_verb	OTHER
decline_noun	Verfall_noun	OTHER
decrease_noun	Abnahme_noun	OTHER
decrease_verb	schwinden_verb	OTHER
decrepit_adj	hinfällig_adj	OTHER
decrepitude_noun	Hinfälligkeit_noun	OTHER
decry_verb	anprangern_verb	OTHER
defeat_noun	Niederlage_noun	OTHER
defeat_verb	bezwingen_verb	OTHER
defiance_noun	Trotz_noun	OTHER
deficiency_noun	Unzulänglichkeit_noun	OTHER
deform_verb	verformen_verb	OTHER
defy_verb	trotzen_verb	OTHER
degenerate_verb	degenerieren_verb	OTHER
degeneration_noun	Degeneration_noun	OTHER
degrade_verb	entarten_verb	OTHER
deign_verb	geruhen_verb	OTHER
dejection_noun	Schwermut_noun	OTHER
delinquent_adj	delinquent_adj	DEROGATORY
delirium_noun	Fieberwahn_noun	OTHER
delude_verb	vormachen_verb	OTHER
deluded_adj	verblendet_adj	DEROGATORY
deluge_noun	Sintflut_noun	OTHER
demean_verb	erniedrigen_verb	DEROGATORY
demise_noun	Niedergang_noun	OTHER
demonize_verb	verteufeln_verb	DEROGATORY
demoralize_verb	demoralisieren_verb	OTHER
denigrate_verb	anschwärzen_verb	DEROGATORY
denounce_verb	anprangern_verb	OTHER
deprecate_verb	missbilligen_verb	OTHER
depress_verb	deprimieren_verb	OTHER
depression_noun	Depression_noun	OTHER
despair_noun	Hoffnungslosigkeit_noun	OTHER
despair_verb	verzweifeln_verb	OTHER
desperate_adj	verzweifelt_adj	OTHER
desperation_noun	Verzweiflung_noun	OTHER
despondency_noun	Mutlosigkeit_noun	OTHER
despondent_adj	niedergeschlagen_adj	OTHER
despotic_adj	despotisch_adj	DEROGATORY
despotism_noun	Willkürherrschaft_noun	DEROGATORY
destabilisation_noun	Destabilisierung_noun	OTHER
destitute_adj	mittellos_adj	OTHER
destitution_noun	Mittellosigkeit_noun	OTHER
destroy_verb	zerstören_verb	DEROGATORY
destroyer_noun	Zerstörer_noun	OTHER
destructive_adj	vernichtend_adj	DEROGATORY
deterrent_noun	Abschreckungsmittel_noun	OTHER
detest_verb	verabscheuen_verb	DEROGATORY
detestable_adj	abscheulich_adj	DEROGATORY
devastate_verb	verwüsten_verb	OTHER
devastated_adj	verwüstet_adj	OTHER
devil_noun	Teufel_noun	DEROGATORY
devilment_noun	Schelmerei_noun	OTHER
devilry_noun	Teufelei_noun	OTHER
dhimmi_noun	?	DEROGATORY
diabolic_adj	teuflisch_adj	DEROGATORY
diatribe_noun	Schmährede_noun	DEROGATORY
dick_noun	Schwanz_noun	DEROGATORY
dictatorial_adj	diktatorisch_adj	DEROGATORY
differ_verb	abweichen_verb	OTHER
diffidence_noun	Zaghaftigkeit_noun	OTHER
dig_verb	schubsen_verb	OTHER
dilly-dally_verb	bummeln_verb	OTHER
dim_verb	abblenden_verb	OTHER
diminish_verb	verringern_verb	OTHER
dinge_noun	Nigger_noun	DEROGATORY
dink_noun	Dink_noun	DEROGATORY
dirt_noun	Schmutz_noun	OTHER
disable_verb	unterbinden_verb	OTHER
disabled_adj	behindert_adj	OTHER
disadvantage_noun	Nachteil_noun	OTHER
disaffected_adj	abgeneigt_adj	OTHER
disagreeable_adj	unliebsam_adj	OTHER
disagreement_noun	Meinungsverschiedenheit_noun	OTHER
disallow_verb	verweigern_verb	OTHER
disapprove_verb	missbilligen_verb	OTHER
disapproving_adj	missbilligend_adj	OTHER
disarm_verb	entwaffnen_verb	OTHER
disastrous_adj	desaströs_adj	OTHER
disavow_verb	ableugnen_verb	OTHER
disavowal_noun	Verleugnung_noun	OTHER
disbelieve_verb	bezweifeln_verb	OTHER
disbeliever_noun	Ungläubiger_noun	DEROGATORY
discomfit_verb	verunsichern_verb	OTHER
disconcert_verb	verdutzen_verb	OTHER
disconcerted_adj	verdutzt_adj	OTHER
disconsolate_adj	untröstlich_adj	OTHER
discontent_noun	Unzufriedenheit_noun	OTHER
discontented_adj	unzufrieden_adj	OTHER
discord_noun	Zwietracht_noun	OTHER
discordance_noun	Uneinigkeit_noun	OTHER
discourage_verb	abraten_verb	OTHER
discouragement_noun	Entmutigung_noun	OTHER
discouraging_adj	?	DEROGATORY
discredit_verb	diskreditieren_verb	OTHER
discriminate_verb	diskriminieren_verb	OTHER
discrimination_noun	Diskriminierung_noun	OTHER
disdainful_adj	verächtlich_adj	DEROGATORY
disgraceful_adj	schändlich_adj	DEROGATORY
disgruntled_adj	missvergnügt_adj	OTHER
disgust_noun	Ekel_noun	OTHER
disgust_verb	abstoßen_verb	DEROGATORY
disgusted_adj	angewidert_adj	DEROGATORY
dishonest_adj	verlogen_adj	DEROGATORY
dishonesty_noun	Verlogenheit_noun	DEROGATORY
dishonor_verb	entehren_verb	DEROGATORY
disillusion_noun	Ernüchterung_noun	DEROGATORY
disillusion_verb	ernüchtern_verb	OTHER
disillusioned_adj	ernüchternd_adj	OTHER
disinclination_noun	Abneigung_noun	OTHER
disintegrate_verb	?	DEROGATORY
disintegration_noun	Zersetzung_noun	OTHER
disinterest_noun	Desinteresse_noun	OTHER
disloyalty_noun	Untreue_noun	DEROGATORY
dismal_adj	erbärmlich_adj	DEROGATORY
dismay_verb	bestürzen_verb	OTHER
disown_verb	enteignen_verb	OTHER
disparage_verb	herabsetzen_verb	OTHER
dispensable_adj	entbehrlich_adj	OTHER
dispirited_adj	niedergeschlagen_adj	OTHER
dispiriting_adj	entmutigend_adj	OTHER
displeasure_noun	Verdruss_noun	OTHER
dispute_verb	anfechten_verb	OTHER
disputed_adj	angefochten_adj	OTHER
disquieting_adj	ungut_adj	OTHER
disrespect_verb	geringschätzen_verb	DEROGATORY
disrespectful_adj	respektlos_adj	DEROGATORY
disrupt_verb	spalten_verb	OTHER
disruptive_adj	spaltend_adj	OTHER
dissatisfaction_noun	Missfallen_noun	OTHER
dissatisfied_adj	frustriert_adj	OTHER
dissemble_verb	verbergen_verb	OTHER
dissent_noun	Dissens_noun	OTHER
dissenter_noun	Dissident_noun	OTHER
dissolution_noun	Auflösung_noun	OTHER
dissonance_noun	Dissonanz_noun	OTHER
distasteful_adj	widerlich_adj	DEROGATORY
distort_verb	verzerren_verb	OTHER
distortion_noun	Verzerrung_noun	OTHER
distract_verb	ablenken_verb	OTHER
distraction_noun	Ablenkung_noun	OTHER
distress_verb	dedrücken_verb	OTHER
distressing_adj	betrüblich_adj	OTHER
distrust_verb	misstrauen_verb	OTHER
disturb_verb	stören_verb	OTHER
disturbing_adj	störend_adj	OTHER
div_noun	Tollpatsch_noun	DEROGATORY
divide_verb	teilen_verb	OTHER
divided_adj	gespalten_adj	OTHER
division_noun	Spaltung_noun	OTHER
divisive_adj	entzweiend_adj	OTHER
divisiveness_noun	Entzweiung_noun	OTHER
divorce_noun	Scheidung_noun	OTHER
doddering_adj	schlotternd_adj	OTHER
dominance_noun	Dominanz_noun	OTHER
dominate_verb	dominieren_verb	OTHER
domination_noun	Herrschaft_noun	OTHER
doubt_noun	Zweifel_noun	OTHER
douchbag_noun	Schlappschwanz_noun	DEROGATORY
downfall_noun	Untergang_noun	OTHER
downgrade_verb	herunterstufen_verb	OTHER
downhearted_adj	entmutigt_adj	OTHER
dragon_noun	Drache_noun	DEROGATORY
drain_noun	?	DEROGATORY
dread_noun	Furcht_noun	OTHER
drought_noun	Dürre_noun	OTHER
dubious_adj	zwielichtig_adj	DEROGATORY
dud_noun	Lusche_noun	DEROGATORY
dullard_noun	Dummerchen_noun	DEROGATORY
dumb_adj	dumm_adj	DEROGATORY
dumbass_noun	Vollpfosten_noun	DEROGATORY
dummy_noun	Doofi_noun	DEROGATORY
dump_noun	Müllkippe_noun	OTHER
dunce_noun	Schwachkopf_noun	DEROGATORY
dupe_verb	übertölpeln_verb	DEROGATORY
dusty_adj	verstaubt_adj	OTHER
dyke_noun	Lesbe_noun	DEROGATORY
earsplitting_adj	ohrenbetäubend_adj	DEROGATORY
eccentricity_noun	Exzentrizität_noun	OTHER
effrontery_noun	Frechheit_noun	DEROGATORY
ego_noun	Selbstgefühl_noun	OTHER
egomania_noun	Egomanie_noun	DEROGATORY
egotism_noun	Egoismus_noun	DEROGATORY
egotistical_adj	egoistisch_adj	DEROGATORY
ejaculate_verb	ejakulieren_verb	OTHER
eliminate_verb	vernichten_verb	OTHER
elimination_noun	Vernichtung_noun	OTHER
emasculate_verb	entmannen_verb	OTHER
embarrassing_adj	peinlich_adj	DEROGATORY
embarrassment_noun	Peinlichkeit_noun	DEROGATORY
embattled_adj	umkämpft_adj	OTHER
empathy_noun	Mitgefühl_noun	OTHER
encroachment_noun	Übergriff_noun	OTHER
endanger_verb	gefährden_verb	OTHER
enemy_noun	Feind_noun	OTHER
engulf_verb	verschlingen_verb	OTHER
enrage_verb	erzürnen_verb	OTHER
enraged_adj	erzürnt_adj	OTHER
enslave_verb	versklaven_verb	DEROGATORY
entangle_verb	verfangen_verb	OTHER
entanglement_noun	Gewirr_noun	OTHER
entrap_verb	verstricken_verb	OTHER
envious_adj	neidisch_adj	DEROGATORY
envy_noun	Neid_noun	DEROGATORY
envy_verb	beneiden_verb	DEROGATORY
epidemic_adj	epidemisch_adj	OTHER
equivocal_adj	fragwürdig_adj	OTHER
eradicate_verb	beseitigen_verb	OTHER
erase_verb	ausradieren_verb	OTHER
err_verb	irren_verb	OTHER
errant_adj	fehlgeleitet_adj	OTHER
error_noun	Fehler_noun	OTHER
estranged_adj	entfremdet_adj	OTHER
evasion_noun	Ausflucht_noun	OTHER
evil_adj	böse_adj	DEROGATORY
evildoer_noun	Übeltäter_noun	DEROGATORY
eviscerate_verb	?	DEROGATORY
exacerbate_verb	erschweren_verb	OTHER
exacting_adj	anspruchsvoll_adj	OTHER
exaggerate_verb	übertreiben_verb	OTHER
exasperate_verb	verschlimmern_verb	OTHER
excessive_adj	exzessiv_adj	OTHER
exclude_verb	ausschließen_verb	OTHER
excuse_noun	Entschuldigung_noun	OTHER
excuse_verb	entschuldigen_verb	OTHER
exhaust_verb	erschöpfen_verb	OTHER
exile_verb	verbannen_verb	OTHER
expel_verb	vertreiben_verb	OTHER
exploitation_noun	Ausbeuterei_noun	DEROGATORY
explosive_adj	explosiv_adj	OTHER
exterminate_verb	ausrotten_verb	DEROGATORY
extreme_adj	extrem_adj	OTHER
extremism_noun	Extremismus_noun	OTHER
eyetie_noun	Spaghettifresser_noun	DEROGATORY
fabricate_verb	fälschen_verb	DEROGATORY
fag_noun	Tunte_noun	DEROGATORY
faggot_noun	Schwuchtel_noun	DEROGATORY
fail_verb	versagen_verb	DEROGATORY
fall_verb	fallen_verb	OTHER
false_adj	falsch_adj	OTHER
falter_verb	schwanken_verb	OTHER
famine_noun	Hungersnot_noun	OTHER
famished_adj	ausgehungert_adj	OTHER
fanatical_adj	fanatisch_adj	OTHER
fanny_noun	Möse_noun	DEROGATORY
fart_noun	Furz_noun	DEROGATORY
fart_verb	furzen_verb	DEROGATORY
fascism_noun	Faschismus_noun	OTHER
fatalistic_adj	fatalistic_adj	DEROGATORY
fault_verb	bemängeln_verb	OTHER
faulty_adj	fehlerhaft_adj	OTHER
fear_verb	fürchten_verb	OTHER
feeble_adj	kläglich_adj	DEROGATORY
feign_verb	simulieren_verb	OTHER
feint_noun	Simulation_noun	OTHER
felon_noun	Schwerverbrecher_noun	DEROGATORY
felonious_adj	verbrecherisch_adj	DEROGATORY
fetid_adj	übelriechend_adj	DEROGATORY
fiasco_noun	Fiasko_noun	OTHER
fiat_noun	Ermächtigung_noun	OTHER
fib_noun	Flunkerei_noun	OTHER
fibber_noun	Schwindler_noun	DEROGATORY
fickle_adj	wankelmütig_adj	OTHER
fictional_adj	fiktiv_adj	OTHER
fidget_verb	herumzappeln_verb	OTHER
fidgety_adj	zappelig_adj	OTHER
fiend_noun	Furie_noun	DEROGATORY
figurehead_noun	Strohmann_noun	OTHER
filthy_adj	dreckig_adj	DEROGATORY
finagle_verb	mogeln_verb	OTHER
finocchio_noun	?	DEROGATORY
flak_noun	Kritik_noun	OTHER
flaky_adj	verrückt_adj	DEROGATORY
flamer_noun	Tunte_noun	DEROGATORY
flashy_adj	grell_adj	OTHER
flaunt_verb	herumstolzieren_verb	OTHER
flaw_noun	Schönheitsfehler_noun	OTHER
fleeting_adj	flüchtig_adj	OTHER
flid_noun	?	DEROGATORY
flimflam_noun	Mumpitz_noun	OTHER
flirt_verb	flirten_verb	OTHER
flounder_verb	stammeln_verb	OTHER
flout_verb	verspotten_verb	OTHER
fluster_verb	durcheinanderbringen_verb	OTHER
fool_verb	beschwindeln_verb	OTHER
foolishness_noun	Dummheit_noun	DEROGATORY
forbidden_adj	verboten_adj	OTHER
force_verb	zwingen_verb	OTHER
forceful_adj	schlagkräftig_adj	OTHER
formidable_adj	gefürchtet_adj	OTHER
foul_verb	beschmutzen_verb	DEROGATORY
foulness_noun	Verdorbenheit_noun	DEROGATORY
fracture_verb	zerbrechen_verb	OTHER
frantic_adj	rasend_adj	OTHER
fraudulent_adj	lügenhaft_adj	DEROGATORY
frazzled_adj	zerfetzt_adj	OTHER
freak_verb	ausflippen_verb	OTHER
freakish_adj	ausgeflippt_adj	DEROGATORY
frenzy_noun	Ekstase_noun	OTHER
fret_verb	anfressen_verb	OTHER
fretful_adj	gereizt_adj	OTHER
frighten_verb	erschrecken_verb	OTHER
frigid_adj	frigide_adj	DEROGATORY
frocio_noun	?	DEROGATORY
frown_noun	Stirnrunzeln_noun	OTHER
frustrate_verb	frustrieren_verb	OTHER
